voice_id,name,gender,age_group,languages,voice_traits,preview_url
4f201abba2574feeae11e5ebf737859e,王琨声音模型10.17t1,男,中年,中文,专业|清晰|干脆|播音|主持,https://platform.r2.fish.audio/task/b84575f0f0cf47a7aa314656c1677a49.mp3
54a5170264694bfc8e9ad98df7bd89c3,丁真,男,青年,中文,友好|平静|温柔|柔和|普通话,https://platform.r2.fish.audio/task/5f55a97cbbf84d059f8249c489c90fce.mp3
59cb5986671546eaa6ca8ae6f29f6d22,央视配音,男,年长,中文,教育|专业|清晰|自信|纪录片,https://platform.r2.fish.audio/task/121e958e29924b01807894e1aeb767c7.mp3
7f92f8afb8ec43bf81429cc1c9199cb1,AD学姐,女,青年,中文,女友感|御姐|舒缓|低沉|严肃,https://platform.r2.fish.audio/task/d21a6aa4d72348efa0d17bfd1df81f62.wav
b7f6ea6bf21246de894f6b9b499add43,陶衿,女,中年,中文,教育|平静|温柔|专业|清晰,https://platform.r2.fish.audio/task/0ab65c4a5dc340a296ad7231c16592fa.mp3
c1e4dc2e84ac448699b865e4e9e790a1,王鑫,女,年长,中文,教育|专业|自信|清晰|普通话,https://platform.r2.fish.audio/task/3681c0137e9d40adac761727a0df715b.mp3
0429f2b252464b88b2ab2128f084290c,modal-1,女,年长,英语,教育|平静|匀速|专业|清晰,https://platform.r2.fish.audio/task/df0ce161e5534c6ea54e8650cdb8860b.mp3
52e0660e03fe4f9a8d2336f67cab5440,ALEX_CHIKNA,男,中年,英语,活力|自信|热情|快速|体育解说,https://platform.r2.fish.audio/task/b46d22d922224e54a77cd6afbb58c0bf.mp3
802e3bc2b27e49c2995d23ef70e6ac89,Energetic Male,男,青年,英语,活力|热情|清晰|干脆|播音,https://platform.r2.fish.audio/task/04c54aec083e49feb366d3ec0578a8f6.mp3
90e65eaaf50e4470b8e6d43ee6afd7d5,Super Smash Bros. 4/Ultimate Announcer,男,年长,英语,低沉|活力|权威|戏剧化|播音,https://platform.r2.fish.audio/task/265105e4556b4c0f906b0f426de988da.mp3
933563129e564b19a115bedd57b7406a,Sarah,女,青年,英语,对话感|柔和|气声|亲密|温柔,https://platform.r2.fish.audio/task/4e204945670c460c86fdab57512cb308.mp3
e9b134e4c0b547a3894793be502314f1,Jasphina,女,中年,英语,活力|俏皮|动画感|表现力|快速,https://platform.r2.fish.audio/task/ecb5c4f4738c46a6a44a9f37ec5c4193.mp3
1dc6c2dc086b48c4b2a7f943401059b6,announcer Super Smash Bros,男,年长,英语|日语|韩语,中音|活力|权威|戏剧化|专业,https://platform.r2.fish.audio/task/07fec2b034b740438fbc38bbb59ab7d2.mp3
5161d41404314212af1254556477c17d,元気な女性,女,青年,日语,对话感|温柔|友好|明亮|顺滑,https://platform.r2.fish.audio/task/425d7fcc3d524da493fbabd9504ea87d.mp3
54fa0418415a4103885ec909023b0285,ほしVer3.0,男,中年,日语,活力|快速|热情|清晰|日语,https://platform.r2.fish.audio/task/c9d1c87ded4b4e1eb8ca297fa91ca0f3.mp3
8f99ad75c8184f1db0c21d3a906445a4,士道,男,青年,日语,教育|平静|专业|温柔|匀速,https://platform.r2.fish.audio/task/f93d9dbd7c644d1aa5316ed97e248098.mp3
ac870f5b0f7e45609b4e8d79bc4082ff,田中みなみ風,女,中年,日语,专业|温暖|主持|顺滑|日语,https://platform.r2.fish.audio/task/17a2f03b39d8450c8814155ac33b5cc6.mp3
13247dc70a3a49dd8b3dacf0a4841b34,Jisoo,女,中年,韩语,对话感|柔和|平静|温柔|气声,https://platform.r2.fish.audio/task/1313e5cb45f54a359d61fe3b1dcd7203.mp3
8cf5ee4cb0224c109852a206f185a05f,보이스1,男,中年,韩语,对话感|明亮|活力|热情|韩语,https://platform.r2.fish.audio/task/8ec33ed6acb4456d8298ac8a3ae87e03.mp3
a86d9eac550d4814b9b4f6fc53661930,卢正义 노정의,女,青年,韩语,教育|平静|专业|普通话|顺滑,https://platform.r2.fish.audio/task/1c4c86e1c7e64f3db202c8889ee4e5ee.mp3
d9708e800c754f0c876953e74d846f5a,Till^^ (Alien stage),男,青年,英语|韩语,暗黑|沙哑|神秘|戏剧化|反派感,https://platform.r2.fish.audio/task/8c0b595becb44d83b7578093e1d37522.mp3
0118a35dcb604837abe7961a43e13ba8,Kasane Teto (español),女,中年,西班牙语,活力|角色感|友好|低沉|自信,https://platform.r2.fish.audio/task/41030975301c444c9b33961541dc27b8.mp3
26ff45fab722431c85eea2536e5c5197,Idea Vilariño,女,年长,西班牙语,低沉|严肃|戏剧化|亲密|放松,https://platform.r2.fish.audio/task/4a38e831525548c69f948c4e45584b58.mp3
30ca8b4d162e463d818bb99101f4857e,Lionel Messi,男,青年,西班牙语,活力|自信|权威|教练感|清晰,https://platform.r2.fish.audio/task/7074b6dc8f384ed08325d08143c442dc.mp3
8d2c17a9b26d4d83888ea67a1ee565b2,Valentino Narración Biblica Fer,男,年长,西班牙语,平静|严肃|权威|专业|清晰,https://platform.r2.fish.audio/task/59ce7df6935c42249759327ddf70f37b.mp3
acc8237220d8470985ec9be6c4c480a9,Hatsune Miku (Text To Speech),女,青年,西班牙语|英语,活力|欢快|明亮|友好|动漫,https://platform.r2.fish.audio/task/543841a007194d9381029bedff4a82d2.mp3
dfa5b230c8054f429e434f4a6e9bbdec,Farid Dieck,男,中年,西班牙语,温暖|平静|匀速|表现力|故事感,https://platform.r2.fish.audio/task/b065d4843a5e43d89bfdf1bc060bcf05.mp3
1e17dc57eaba4f27ac3ee8d50cb8d040,Steal a Brainrot (Brainrots Voice),男,中年,多语言,活力|欢快|俏皮|动画感|节奏感,https://platform.r2.fish.audio/task/c12bf16e23914bc0a7c26bbc382c0d6f.mp3
4f2a0684dd0247dda68f339738c780e6,Le narrateur,男,年长,法语,低沉|低音|电影感|神秘|法语,https://platform.r2.fish.audio/task/cc127c7e31904002a82ac7a30ef669fd.mp3
5567200c7d8341738f0892bbacd3be3c,Féminine,女,中年,法语,对话感|平静|专业|低音|顺滑,https://platform.r2.fish.audio/task/338781fbd06c46ffb0a7fff78e1bad3d.mp3
588134063cd047ffafc43114f3f26746,Voix Narrative Française,男,青年,法语,教育|中音|清晰|专业|平静,https://platform.r2.fish.audio/task/a97405ea7791472db07b4da90e709b30.mp3
690813f2df56491b82ee02a22d1c67fd,Fille,女,青年,法语,对话感|柔和|气声|放松|亲密,https://platform.r2.fish.audio/task/3b3306243d3e4e32bcc0cae53187a592.mp3
fa6983af3ca24b9a844a0866af745684,marine le pen,女,年长,法语,专业|严肃|自信|权威|法语,https://platform.r2.fish.audio/task/b485689b7385479799f08c1e5c125d56.mp3
13533a60000342348698dda798564e72,Metal Sonic,男,年长,德语|西班牙语|英语,中性|匀速|机器人|金属感|科幻,https://platform.r2.fish.audio/task/1bba85b6efbe4704a3ce109b0b3f2c2a.mp3
285f00e53ff14eb1b111532fb39569d3,Nachrichtensendung,女,年长,德语,专业|清晰|匀速|中性|权威,https://platform.r2.fish.audio/task/eb8f8d8886cd47f9a806c736e3ecf31e.mp3
88b18e0d81474a0ca08e2ea6f9df5ff4,Christa deutsch,女,青年,德语,教育|明亮|清晰|友好|专业,https://platform.r2.fish.audio/task/e00947b7bcab4527905f59b4518242a0.mp3
90042f762dbf49baa2e7776d011eee6b,Vorlesen Stimlagen,男,中年,德语,教育|平静|匀速|清晰|专业,https://platform.r2.fish.audio/task/0cac836806bf4b8099d308a8679d650b.mp3
c5b66a80d90749fc914c714e793d1a2f,Catrinja,女,中年,德语,对话感|柔和|气声|亲密|放松,https://platform.r2.fish.audio/task/2d9ac7fb6cdc45f89ec8299fba9ea21d.mp3
dc17e99b25e14686b107caa1d270c802,Ingo Ruff,男,青年,德语,低沉|清晰|匀速|专业|播音,https://platform.r2.fish.audio/task/aeacad8386264114bc58b359b847910b.mp3
